"X" "y" "LF" "species"
"Genista_pilosa" "no" "yes" "shrub" "Genista_pilosa"
"Cytisus_scoparius" "no" "yes" "shrub" "Cytisus_scoparius"
"Cytisus_proliferus" "no" "yes" "shrub" "Cytisus_proliferus"
"Dipteryx_oleifera" "no" "yes" "tree" "Dipteryx_oleifera"
"Acacia_praecox" "yes" "yes" "tree" "Acacia_praecox"
"Acacia_retinodes" "yes" "yes" "tree" "Acacia_retinodes"
"Acacia_mearnsii" "no" "yes" "tree" "Acacia_mearnsii"
"Acacia_dealbata" "yes" "yes" "tree" "Acacia_dealbata"
"Acacia_brachybotrya" "yes" "yes" "tree" "Acacia_brachybotrya"
"Acacia_furcatispina" "yes" "yes" "tree" "Acacia_furcatispina"
"Acacia_aroma" "no" "yes" "tree" "Acacia_aroma"
"Inga_densiflora" "no" "no" "tree" "Inga_densiflora"
"Inga_punctata" "no" "no" "tree" "Inga_punctata"
"Enterolobium_cyclocarpum" "yes" "yes" "tree" "Enterolobium_cyclocarpum"
"Mimosa_detinens" "no" "no" "shrub" "Mimosa_detinens"
"Pseudopiptadenia_leptostachya" "no" "yes" "tree" "Pseudopiptadenia_leptostachya"
"Pseudopiptadenia_contorta" "no" "yes" "tree" "Pseudopiptadenia_contorta"
"Prosopis_nigra" "yes" "yes" "tree" "Prosopis_nigra"
"Prosopis_flexuosa" "no" "yes" "tree" "Prosopis_flexuosa"
"Leucaena_leucocephala" "yes" "yes" "tree" "Leucaena_leucocephala"
"Cercidium_praecox" "no" "yes" "tree" "Cercidium_praecox"
"Caesalpinia_gilliesii" "no" "no" "shrub" "Caesalpinia_gilliesii"
"Caesalpinia_decapetala" "yes" "yes" "shrub" "Caesalpinia_decapetala"
"Senna_aphylla" "no" "yes" "shrub" "Senna_aphylla"
"Senna_artemisioides" "no" "yes" "shrub" "Senna_artemisioides"
"Senna_didymobotrya" "no" "yes" "shrub" "Senna_didymobotrya"
"Chamaecrista_fasciculata" "no" "yes" "shrub" "Chamaecrista_fasciculata"
"Peltogyne_chrysopis" "no" "yes" "tree" "Peltogyne_chrysopis"
"Drymocallis_rupestris" "no" "no" "herb" "Drymocallis_rupestris"
"Agrimonia_parviflora" "yes" "yes" "herb" "Agrimonia_parviflora"
"Rosa_canina" "no" "yes" "shrub" "Rosa_canina"
"Rubus_idaeus" "no" "yes" "shrub" "Rubus_idaeus"
"Geum_urbanum" "yes" "no" "herb" "Geum_urbanum"
"Malus_domestica" "no" "yes" "tree" "Malus_domestica"
"Aronia_arbutifolia" "no" "yes" "shrub" "Aronia_arbutifolia"
"Aronia_melanocarpa" "no" "yes" "shrub" "Aronia_melanocarpa"
"Crataegus_monogyna" "no" "yes" "shrub" "Crataegus_monogyna"
"Cotoneaster_integerrimus" "no" "no" "shrub" "Cotoneaster_integerrimus"
"Sorbus_torminalis" "no" "yes" "tree" "Sorbus_torminalis"
"Prunus_dulcis" "no" "yes" "tree" "Prunus_dulcis"
